text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, alright, appreciate y'all and so what are y'all ages six, fourteen, si, y, sixteen and sixteen, sixteen and sixteen",0.073313765,0.995093584060669,0.0,0.0,0.0009030677028931,0.0010446566157042,0.0004267953336238,False
how long y'all been in dc,0.055732824,0.0,0.05,0.0,0.001243055332452,0.0014128427719697,0.0012641738867387,False
"four years, four years",0.01721518,0.0,0.0,0.0,0.0009617826435714,0.0003532576956786,0.0006408777553588,False
"mmhm, is it",0.036508016,0.9981387853622437,0.0,0.0,0.0078394645825028,0.0007556594209745,0.0008978572441264,False
"does dc have it's own language? yes, like, can you tell if somebody from where did y'all move from maryland? maryland, maryland? is there a like a difference in how you could tell? like, oh, okay, they, from",0.079307266,0.9651633501052856,0.0,0.0,0.0007294817478395,0.0004990755114704,0.0006351252668537,False
"uh, they're from",0.02929751,0.7782502174377441,0.0,0.0,0.000976565759629,0.0007089842692948,0.0022069802507758,False
"they're from here or you know what i'm saying? oh, they're from no, dc, and maryland got their own slang",0.13206954,0.9979923963546753,0.0,0.0,0.001741049112752,0.0010198209201917,0.0017929493915289,False
but if you from out of town then we'll know that you from wherever you how you speak,0.10763696,0.0,0.0,0.0,0.0008228272781707,0.0104317581281065,0.0009376759408041,False
what are words that are pecific for dc? give me some words that are pecific for dc,0.04268845,0.0,0.0,0.0,0.0067198947072029,0.0049163997173309,0.0032625596504658,False
"mo, bob, kill, kill",0.68288773,0.6084825992584229,0.0,0.825,0.891366183757782,0.965790033340454,0.8981043696403503,False
"uh, uh, what do they mean when you say it like, as you as you say, the word kill means like you agreeing with something mo is like",0.34388447,0.9732345342636108,0.3125,0.125,0.0189412292093038,0.0334026478230953,0.0664848983287811,False
"if they don't know your name, they'll call you by mo or bob",0.0471521,0.0,0.0,0.0,0.0207855515182018,0.0020795234013348,0.0008180704317055,False
"uh, uh",0.025005542,0.7620375752449036,0.0,0.0,0.001467989757657,0.0005879707168787,0.0009502459433861,False
"what other stuff? uh, what else? it's hard cause you not in a real conversation",0.19239926,0.9961758852005005,0.0722222222222222,0.112,0.0025652996264398,0.0025156480260193,0.0028356304392218,False
you say it's hard cause you not in a real conversation,0.19716066,0.9877929091453552,0.0458333333333333,0.123,0.0028849397785961,0.0012753346236422,0.0019502011127769,False
"yeah, like talking to somebody",0.03856816,0.0,0.0,0.0,0.000763525837101,0.0006827709148637,0.0008740178891457,False
"so what about? like? like? what are? can you remember words like when you first moved to dc, when you were younger, as opposed to now",0.040628307,0.8770353198051453,0.0,0.0,0.0008569186320528,0.0008498976822011,0.0021968162618577,False
"like, are there words that you don't use anymore? like when you were kids, yeah, yeah, like swag",0.317855,0.0,0.0,0.086,0.3596996366977691,0.4882389903068542,0.0093053560703992,False
"we don't use swag anymore swag yeah, we use or s",0.2008281,0.0,0.0,0.0,0.055057693272829,0.0202751643955707,0.0008718735189177,False
"uh, we use fresh, fresh, fresh or some",0.04543531,0.0,0.0,0.0,0.0006365387234836,0.0004939301870763,0.0009605382219888,False
"well, maryland and dc, kind of got the same slang, so most of you we know because when we in maryland, it's like the same, but a little different, a little different",0.08447654,0.9977900981903076,0.0,0.0,0.0006469655199907,0.0003692684404086,0.0005962643190287,False
"yeah, it's a little different how people act or how people talk and act",0.049898956,0.9499852061271667,0.09375,0.0,0.0007152143516577,0.0006878494750708,0.0004971461603417,False
"yeah, dc",0.050585672,0.0,0.0,0.0,0.0007695155218243,0.0024671636056154,0.0017895356286317,False
"yeah, dc, dc, people act crazy",0.44805592,0.9115489721298218,0.6,0.279,0.2787279784679413,0.5381830930709839,0.3951385915279388,False
they act like more aggressive,0.2712817,0.9662109613418579,0.0,0.256,0.0068321423605084,0.0407127924263477,0.0283786468207836,False
"yeah, yeah, and most in maryland, maryland people, we're cool with each other and we just chill",0.07091636,0.0,0.0,0.0,0.0006648134440183,0.0004511611477937,0.0006381818675436,False
"and we, you know we could go outside and play basketball in dc, but you can't do that cause most of the time it's a lot of dudes sitting around a lot of a lot of corners",0.09065199,0.9762235283851624,0.0,0.0,0.0014110443880781,0.0020701135508716,0.0027626228984445,False
and and s,0.046122026,0.6011203527450562,0.0,0.0,0.0009988328674808,0.0014660339802503,0.0003286249993834,False
they also be trying to rob you,0.17957193,0.9924496412277222,0.0,0.375,0.5333872437477112,0.0670478716492652,0.1394874155521392,False
s if they see you with a fresh pair of shoes or something like that,0.1731117,0.0,0.0,0.0,0.0012932048412039,0.0008228951483033,0.0109748924151062,False
"yeah, that's and what are the? what? what are the? um? like? like, what is it that you? so you moved from maryland to dc",0.059728492,0.929043710231781,0.0,0.0,0.0017754194559529,0.0019408070947974,0.0106124831363558,False
